"","eventid","country_txt","region_txt","success","suicide","attacktype1_txt","targtype1_txt","nkill","nkillter","nwound","gdp"
"1547",201705260027,"Burundi","Sub-Saharan Africa",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,1,"2318490758"
"2082",201701070010,"Egypt","Middle East & North Africa",1,0,"Armed Assault","Military",0,0,1,"2.7171E+11"
"2035",201701160015,"Egypt","Middle East & North Africa",1,0,"Armed Assault","Police",10,2,3,"2.7171E+11"
"4323",201706030054,"Iraq","Middle East & North Africa",1,0,"Armed Assault","Private Citizens & Property",1,0,0,"2.08595E+11"
"3685",201705290031,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,2,"2.08595E+11"
"8831",201710050023,"Somalia","Sub-Saharan Africa",1,0,"Armed Assault","Military",4,3,4,NA
"2100",201709220008,"Egypt","Middle East & North Africa",1,0,"Armed Assault","Military",4,3,0,"2.7171E+11"
"9118",201704090005,"Somalia","Sub-Saharan Africa",0,1,"Assassination","Military",16,1,5,NA
"4202",201705280008,"Iraq","Middle East & North Africa",1,0,"Unknown","Military",13,0,0,"2.08595E+11"
"1621",201706230030,"Cameroon","Sub-Saharan Africa",1,1,"Bombing/Explosion","Private Citizens & Property",2,2,1,"36364818793"
"3589",201702270064,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",1,0,4,"2.08595E+11"
"3883",201704210036,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"4520",201702260057,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"1971",201704010020,"Democratic Republic of the Congo","Sub-Saharan Africa",1,0,"Facility/Infrastructure Attack","Private Citizens & Property",5,0,0,"33277598255"
"6957",201711130045,"Nigeria","Sub-Saharan Africa",1,0,"Armed Assault","Private Citizens & Property",2,0,0,"4.60457E+11"
"9730",201701170036,"Syria","Middle East & North Africa",1,0,"Unknown","Military",-999,-999,-999,NA
"7758",201705010031,"Pakistan","South Asia",1,0,"Unknown","Military",2,0,0,"2.40857E+11"
"9326",201705070011,"Somalia","Sub-Saharan Africa",0,0,"Assassination","Government (General)",0,0,1,NA
"10075",201706200027,"Thailand","Southeast Asia",1,0,"Armed Assault","Religious Figures/Institutions",1,0,1,"4.22941E+11"
"2060",201704120023,"Egypt","Middle East & North Africa",1,0,"Facility/Infrastructure Attack","Private Citizens & Property",0,0,0,"2.7171E+11"
"4994",201711190001,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Business",0,0,3,"2.08595E+11"
"4079",201709050002,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Military",0,0,1,"2.08595E+11"
"3953",201708150026,"Iraq","Middle East & North Africa",1,0,"Armed Assault","Police",1,0,1,"2.08595E+11"
"295",201704300021,"Afghanistan","South Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"20744935406"
"9816",201703250029,"Syria","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",3,0,-999,NA
"4336",201706180007,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"10094",201704010016,"Thailand","Southeast Asia",1,0,"Armed Assault","Military",0,0,1,"4.22941E+11"
"2874",201707130040,"India","South Asia",1,0,"Facility/Infrastructure Attack","Government (General)",0,0,0,"2.63095E+12"
"5462",201702010047,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Government (General)",1,0,0,"2.08595E+11"
"10329",201712300018,"Ukraine","Eastern Europe",1,1,"Hostage Taking (Barricade Incident)","Government (General)",0,0,1,"1.27296E+11"
"3903",201708050036,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,5,"2.08595E+11"
"3277",201709220033,"India","South Asia",1,0,"Bombing/Explosion","Unknown",0,0,0,"2.63095E+12"
"362",201701270027,"Afghanistan","South Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"20744935406"
"7045",201705140032,"Nigeria","Sub-Saharan Africa",1,0,"Armed Assault","Religious Figures/Institutions",27,0,5,"4.60457E+11"
"9718",201707190049,"Syria","Middle East & North Africa",1,0,"Unknown","Private Citizens & Property",2,0,-999,NA
"475",201706070019,"Afghanistan","South Asia",0,0,"Unknown","Military",2,2,2,"20744935406"
"10816",201701180043,"Yemen","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",3,0,3,"19564086828"
"7844",201706170042,"Pakistan","South Asia",0,0,"Unknown","Military",0,0,0,"2.40857E+11"
"1378",201711140005,"Afghanistan","South Asia",1,0,"Bombing/Explosion","Police",5,0,3,"20744935406"
"7477",201705150044,"Pakistan","South Asia",1,0,"Armed Assault","Police",1,0,0,"2.40857E+11"
"10534",201701020076,"United States","North America",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",0,0,1,"1.7305E+13"
"9954",201704190061,"Thailand","Southeast Asia",1,0,"Armed Assault","Military",0,0,0,"4.22941E+11"
"6252",201702130025,"Malaysia","Southeast Asia",1,0,"Hostage Taking (Kidnapping)","Religious Figures/Institutions",-999,0,-999,"3.64574E+11"
"7711",201712010010,"Pakistan","South Asia",1,0,"Bombing/Explosion","Military",1,0,1,"2.40857E+11"
"5132",201712010034,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Terrorists/Non-State Militia",1,0,0,"2.08595E+11"
"8098",201707120031,"Philippines","Southeast Asia",1,0,"Armed Assault","Military",1,0,0,"3.03356E+11"
"34",201706240012,"Afghanistan","South Asia",0,0,"Unknown","Military",6,6,9,"20744935406"
"5881",201712110020,"Israel","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.97396E+11"
"4851",201708040044,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Business",0,0,2,"2.08595E+11"
"3475",201705180007,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Police",5,0,8,"2.08595E+11"
"8803",201703140022,"Saudi Arabia","Middle East & North Africa",1,0,"Armed Assault","Military",1,0,0,"6.84158E+11"
"10301",201706170038,"Turkey","Middle East & North Africa",1,0,"Bombing/Explosion","Military",2,0,7,"1.20604E+12"
"6958",201711040030,"Nigeria","Sub-Saharan Africa",1,0,"Hostage Taking (Kidnapping)","Terrorists/Non-State Militia",1,0,-999,"4.60457E+11"
"2461",201709140019,"India","South Asia",1,0,"Facility/Infrastructure Attack","Business",0,0,0,"2.63095E+12"
"8628",201708250022,"Philippines","Southeast Asia",1,0,"Hostage Taking (Kidnapping)","Business",0,0,0,"3.03356E+11"
"7632",201705080028,"Pakistan","South Asia",0,0,"Bombing/Explosion","Educational Institution",0,0,0,"2.40857E+11"
"10282",201705220034,"Turkey","Middle East & North Africa",0,0,"Unknown","Military",1,1,0,"1.20604E+12"
"2792",201706200022,"India","South Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.63095E+12"
"9253",201702150044,"Somalia","Sub-Saharan Africa",1,0,"Armed Assault","Military",-999,-999,-999,NA
"5137",201712060005,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,2,"2.08595E+11"
"3216",201707270021,"India","South Asia",0,0,"Armed Assault","Police",0,0,0,"2.63095E+12"
"4159",201706070002,"Iraq","Middle East & North Africa",0,1,"Bombing/Explosion","Police",1,1,0,"2.08595E+11"
"7992",201707150038,"Pakistan","South Asia",0,0,"Assassination","Journalists & Media",0,0,0,"2.40857E+11"
"1061",201702120032,"Afghanistan","South Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"20744935406"
"4434",201705090005,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",2,0,2,"2.08595E+11"
"6921",201703100016,"Nigeria","Sub-Saharan Africa",1,0,"Armed Assault","Private Citizens & Property",7,0,-999,"4.60457E+11"
"3107",201701260019,"India","South Asia",1,0,"Bombing/Explosion","Business",0,0,0,"2.63095E+12"
"2167",201704170060,"Egypt","Middle East & North Africa",1,0,"Armed Assault","Private Citizens & Property",-999,-999,-999,"2.7171E+11"
"23",201701150002,"Afghanistan","South Asia",1,0,"Hostage Taking (Kidnapping)","Educational Institution",0,0,0,"20744935406"
"1135",201706210046,"Afghanistan","South Asia",1,0,"Armed Assault","Military",2,1,2,"20744935406"
"2260",201703280042,"France","Western Europe",1,0,"Facility/Infrastructure Attack","Government (General)",0,0,0,"2.85709E+12"
"1211",201708060039,"Afghanistan","South Asia",1,0,"Bombing/Explosion","Police",0,0,2,"20744935406"
"7225",201711210011,"Nigeria","Sub-Saharan Africa",1,1,"Bombing/Explosion","Religious Figures/Institutions",59,1,40,"4.60457E+11"
"10882",201706300031,"Yemen","Middle East & North Africa",1,0,"Armed Assault","Private Citizens & Property",1,0,0,"19564086828"
"10354",201701230011,"Ukraine","Eastern Europe",0,0,"Unknown","Business",0,0,0,"1.27296E+11"
"9955",201704070061,"Thailand","Southeast Asia",1,0,"Facility/Infrastructure Attack","Utilities",0,0,0,"4.22941E+11"
"7270",201708280040,"Nigeria","Sub-Saharan Africa",1,0,"Facility/Infrastructure Attack","Government (General)",0,0,0,"4.60457E+11"
"7776",201711210013,"Pakistan","South Asia",1,0,"Armed Assault","Religious Figures/Institutions",1,0,0,"2.40857E+11"
"10790",201703170028,"Yemen","Middle East & North Africa",0,0,"Bombing/Explosion","Business",0,0,0,"19564086828"
"6857",201706250033,"Nigeria","Sub-Saharan Africa",1,0,"Facility/Infrastructure Attack","Religious Figures/Institutions",0,0,0,"4.60457E+11"
"1755",201701280063,"Colombia","South America",1,0,"Hostage Taking (Kidnapping)","Government (General)",0,0,0,"3.73471E+11"
"9699",201707160033,"Syria","Middle East & North Africa",1,1,"Bombing/Explosion","Military",-999,-999,-999,NA
"5931",201709050009,"Kenya","Sub-Saharan Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",1,0,0,"58109837754"
"5635",201710130001,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Religious Figures/Institutions",2,0,3,"2.08595E+11"
"198",201708010031,"Afghanistan","South Asia",1,0,"Armed Assault","Military",26,25,36,"20744935406"
"3848",201707120033,"Iraq","Middle East & North Africa",1,0,"Facility/Infrastructure Attack","Journalists & Media",0,0,0,"2.08595E+11"
"7206",201706260010,"Nigeria","Sub-Saharan Africa",1,1,"Bombing/Explosion","Educational Institution",1,1,0,"4.60457E+11"
"4375",201705170008,"Iraq","Middle East & North Africa",0,1,"Bombing/Explosion","Unknown",1,1,0,"2.08595E+11"
"10631",201707280025,"West Bank and Gaza Strip","Middle East & North Africa",0,0,"Armed Assault","Military",1,1,0,"12136735452"
"8144",201704030006,"Philippines","Southeast Asia",1,0,"Bombing/Explosion","Business",0,0,8,"3.03356E+11"
"6021",201708080006,"Kenya","Sub-Saharan Africa",1,0,"Hijacking","Private Citizens & Property",0,0,0,"58109837754"
"1981",201709250015,"Democratic Republic of the Congo","Sub-Saharan Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",-999,0,-999,"33277598255"
"7958",201704230001,"Pakistan","South Asia",1,0,"Bombing/Explosion","Military",5,0,3,"2.40857E+11"
"973",201706190054,"Afghanistan","South Asia",1,0,"Armed Assault","Military",0,0,1,"20744935406"
"6530",201701200045,"Myanmar","Southeast Asia",1,0,"Unknown","Private Citizens & Property",3,0,0,"79495831533"
"4364",201708040046,"Iraq","Middle East & North Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",-999,0,-999,"2.08595E+11"
"10843",201701030001,"Yemen","Middle East & North Africa",1,0,"Armed Assault","Military",2,0,8,"19564086828"
"8474",201706270030,"Philippines","Southeast Asia",1,0,"Facility/Infrastructure Attack","Military",0,0,0,"3.03356E+11"
"10146",201704270014,"Turkey","Middle East & North Africa",1,0,"Bombing/Explosion","Military",0,0,0,"1.20604E+12"
"2265",201706190022,"France","Western Europe",0,1,"Bombing/Explosion","Police",1,1,0,"2.85709E+12"
"9092",201712310013,"Somalia","Sub-Saharan Africa",1,0,"Bombing/Explosion","Military",0,0,0,NA
"4372",201707060001,"Iraq","Middle East & North Africa",1,0,"Unknown","Private Citizens & Property",2,0,25,"2.08595E+11"
"5379",201706030003,"Iraq","Middle East & North Africa",0,1,"Bombing/Explosion","Unknown",2,2,0,"2.08595E+11"
"8124",201705230039,"Philippines","Southeast Asia",1,0,"Hostage Taking (Kidnapping)","Religious Figures/Institutions",-999,0,-999,"3.03356E+11"
"1390",201705200031,"Afghanistan","South Asia",1,0,"Unknown","Police",6,-999,2,"20744935406"
"4318",201702200042,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",1,0,4,"2.08595E+11"
"6939",201703280039,"Nigeria","Sub-Saharan Africa",1,0,"Armed Assault","Private Citizens & Property",10,0,-999,"4.60457E+11"
"9512",201707130057,"South Sudan","Sub-Saharan Africa",0,0,"Armed Assault","NGO",0,0,0,NA
"3610",201701150015,"Iraq","Middle East & North Africa",1,0,"Facility/Infrastructure Attack","Private Citizens & Property",0,0,0,"2.08595E+11"
"1103",201705270043,"Afghanistan","South Asia",1,0,"Armed Assault","Military",11,-999,-999,"20744935406"
"9768",201702250007,"Syria","Middle East & North Africa",1,1,"Bombing/Explosion","Military",33,3,17,NA
"2095",201707150011,"Egypt","Middle East & North Africa",1,0,"Armed Assault","Private Citizens & Property",0,0,1,"2.7171E+11"
"566",201708140001,"Afghanistan","South Asia",0,0,"Unknown","Military",1,1,1,"20744935406"
"4460",201707120036,"Iraq","Middle East & North Africa",0,0,"Unknown","Private Citizens & Property",3,3,0,"2.08595E+11"
"3548",201708220007,"Iraq","Middle East & North Africa",0,1,"Bombing/Explosion","Military",1,1,0,"2.08595E+11"
"2886",201705270034,"India","South Asia",1,0,"Facility/Infrastructure Attack","Government (General)",0,0,0,"2.63095E+12"
"6947",201708010034,"Nigeria","Sub-Saharan Africa",1,0,"Unarmed Assault","Government (General)",0,0,-999,"4.60457E+11"
"8207",201704300027,"Philippines","Southeast Asia",0,0,"Armed Assault","Military",0,0,-999,"3.03356E+11"
"4603",201701110005,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,4,"2.08595E+11"
"9738",201701040049,"Syria","Middle East & North Africa",0,0,"Unknown","Military",-999,-999,-999,NA
"2849",201702190010,"India","South Asia",0,0,"Armed Assault","Police",0,0,0,"2.63095E+12"
"6897",201705150021,"Nigeria","Sub-Saharan Africa",1,1,"Bombing/Explosion","Private Citizens & Property",5,3,6,"4.60457E+11"
"3980",201701020011,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",2,0,0,"2.08595E+11"
"9787",201703210035,"Syria","Middle East & North Africa",1,0,"Unknown","Military",-999,-999,-999,NA
"7695",201703130006,"Pakistan","South Asia",0,0,"Bombing/Explosion","Government (General)",0,0,0,"2.40857E+11"
"6173",201701040006,"Libya","Middle East & North Africa",1,1,"Bombing/Explosion","Military",1,1,0,"46627921660"
"8522",201703200023,"Philippines","Southeast Asia",1,0,"Armed Assault","Private Citizens & Property",1,0,0,"3.03356E+11"
"9230",201712140005,"Somalia","Sub-Saharan Africa",1,1,"Bombing/Explosion","Police",19,1,15,NA
"7796",201707090007,"Pakistan","South Asia",1,0,"Bombing/Explosion","Military",3,0,1,"2.40857E+11"
"5248",201704270016,"Iraq","Middle East & North Africa",0,0,"Assassination","Military",0,0,0,"2.08595E+11"
"10336",201701160014,"Ukraine","Eastern Europe",1,0,"Facility/Infrastructure Attack","Religious Figures/Institutions",0,0,0,"1.27296E+11"
"5806",201705060002,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,3,"2.08595E+11"
"9197",201706090018,"Somalia","Sub-Saharan Africa",0,0,"Unknown","Military",2,2,1,NA
"6590",201705110033,"Nepal","South Asia",0,0,"Assassination","Violent Political Party",0,0,0,"21463958187"
"6410",201712190020,"Mexico","North America",1,0,"Assassination","Journalists & Media",1,0,0,"1.28425E+12"
"352",201705020032,"Afghanistan","South Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"20744935406"
"2662",201709130033,"India","South Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.63095E+12"
"8109",201703110034,"Philippines","Southeast Asia",0,0,"Unknown","Private Citizens & Property",0,0,0,"3.03356E+11"
"10430",201705310038,"United Kingdom","Western Europe",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.8069E+12"
"10031",201704070002,"Thailand","Southeast Asia",1,0,"Bombing/Explosion","Utilities",0,0,0,"4.22941E+11"
"7845",201704290007,"Pakistan","South Asia",1,0,"Bombing/Explosion","Utilities",0,0,0,"2.40857E+11"
"7108",201701230010,"Nigeria","Sub-Saharan Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",3,0,-999,"4.60457E+11"
"10607",201708060052,"West Bank and Gaza Strip","Middle East & North Africa",1,0,"Armed Assault","Private Citizens & Property",0,0,0,"12136735452"
"6335",201709270049,"Mali","Sub-Saharan Africa",1,0,"Hostage Taking (Barricade Incident)","Private Citizens & Property",0,0,0,"14146600519"
"5994",201708090011,"Kenya","Sub-Saharan Africa",1,0,"Armed Assault","Government (General)",3,2,0,"58109837754"
"518",201705090042,"Afghanistan","South Asia",1,0,"Assassination","Government (General)",4,0,5,"20744935406"
"3893",201702180030,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"9341",201705250039,"Somalia","Sub-Saharan Africa",1,0,"Assassination","Government (General)",1,0,0,NA
"4090",201702240036,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,3,"2.08595E+11"
"5396",201704230015,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Private Citizens & Property",0,0,0,"2.08595E+11"
"1830",201710120055,"Colombia","South America",1,0,"Hostage Taking (Kidnapping)","Government (General)",-999,0,-999,"3.73471E+11"
"2010",201710210035,"Egypt","Middle East & North Africa",1,0,"Armed Assault","Police",16,-999,13,"2.7171E+11"
"5703",201709070009,"Iraq","Middle East & North Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",12,0,0,"2.08595E+11"
"4102",201712250002,"Iraq","Middle East & North Africa",1,0,"Unknown","Police",4,0,0,"2.08595E+11"
"6523",201708250008,"Myanmar","Southeast Asia",1,0,"Bombing/Explosion","Police",3,3,-999,"79495831533"
"5969",201707050014,"Kenya","Sub-Saharan Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"58109837754"
"1467",201701300031,"Bangladesh","South Asia",1,0,"Unarmed Assault","Police",0,0,3,"1.79992E+11"
"3017",201705180017,"India","South Asia",1,0,"Bombing/Explosion","Police",0,0,4,"2.63095E+12"
"7",201707260011,"Afghanistan","South Asia",1,0,"Hostage Taking (Kidnapping)","Military",26,-999,13,"20744935406"
"9962",201710180026,"Thailand","Southeast Asia",0,0,"Armed Assault","Police",0,0,0,"4.22941E+11"
"4165",201705270008,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"10186",201707090036,"Turkey","Middle East & North Africa",0,0,"Unknown","Police",1,1,0,"1.20604E+12"
"5335",201702250034,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"4870",201705200002,"Iraq","Middle East & North Africa",0,1,"Bombing/Explosion","Military",1,1,2,"2.08595E+11"
"7544",201701060002,"Pakistan","South Asia",1,0,"Armed Assault","Private Citizens & Property",1,0,0,"2.40857E+11"
"1481",201705080006,"Bangladesh","South Asia",1,0,"Armed Assault","Religious Figures/Institutions",0,0,1,"1.79992E+11"
"5456",201711040013,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Police",3,0,1,"2.08595E+11"
"5840",201704300003,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Military",3,0,0,"2.08595E+11"
"6880",201706280030,"Nigeria","Sub-Saharan Africa",0,0,"Armed Assault","Military",-999,-999,-999,"4.60457E+11"
"3878",201701310043,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,5,"2.08595E+11"
"1419",201705310033,"Algeria","Middle East & North Africa",1,0,"Armed Assault","Police",0,0,4,"1.99171E+11"
"770",201711070049,"Afghanistan","South Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"20744935406"
"7931",201704240021,"Pakistan","South Asia",1,0,"Bombing/Explosion","Military",0,0,3,"2.40857E+11"
"7319",201709040005,"Pakistan","South Asia",1,0,"Armed Assault","Military",3,0,3,"2.40857E+11"
"10711",201706210041,"Yemen","Middle East & North Africa",0,0,"Assassination","Military",0,0,5,"19564086828"
"1636",201710290006,"Cameroon","Sub-Saharan Africa",1,0,"Armed Assault","Private Citizens & Property",11,0,0,"36364818793"
"6240",201711100001,"Libya","Middle East & North Africa",0,0,"Assassination","Government (General)",3,0,9,"46627921660"
"7946",201702100026,"Pakistan","South Asia",1,0,"Bombing/Explosion","Business",0,0,0,"2.40857E+11"
"9499",201706080031,"South Sudan","Sub-Saharan Africa",1,0,"Armed Assault","Military",14,0,10,NA
"3206",201706110009,"India","South Asia",1,0,"Bombing/Explosion","Police",0,0,4,"2.63095E+12"
"6838",201708150011,"Nigeria","Sub-Saharan Africa",1,1,"Bombing/Explosion","Private Citizens & Property",28,1,42,"4.60457E+11"
"3515",201708050004,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Military",1,0,5,"2.08595E+11"
"6287",201712260022,"Mali","Sub-Saharan Africa",1,0,"Bombing/Explosion","Military",2,0,1,"14146600519"
"874",201705280014,"Afghanistan","South Asia",1,0,"Bombing/Explosion","Unknown",2,2,3,"20744935406"
"6301",201710030042,"Mali","Sub-Saharan Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",0,0,0,"14146600519"
"6199",201702140001,"Libya","Middle East & North Africa",0,0,"Assassination","Military",1,1,2,"46627921660"
"10572",201708060021,"Venezuela","South America",0,0,"Armed Assault","Military",2,2,1,".."
"8331",201702260061,"Philippines","Southeast Asia",1,0,"Assassination","Terrorists/Non-State Militia",2,0,0,"3.03356E+11"
"8896",201704260005,"Somalia","Sub-Saharan Africa",1,0,"Armed Assault","Military",-999,-999,-999,NA
"522",201712080013,"Afghanistan","South Asia",1,0,"Facility/Infrastructure Attack","Business",0,0,0,"20744935406"
"7012",201711290020,"Nigeria","Sub-Saharan Africa",1,0,"Assassination","Private Citizens & Property",2,0,0,"4.60457E+11"
"8794",201712190010,"Saudi Arabia","Middle East & North Africa",0,0,"Bombing/Explosion","Government (General)",0,0,0,"6.84158E+11"
"7759",201711150013,"Pakistan","South Asia",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",20,0,0,"2.40857E+11"
"8622",201706210006,"Philippines","Southeast Asia",1,0,"Facility/Infrastructure Attack","Private Citizens & Property",0,0,0,"3.03356E+11"
"1330",201704240013,"Afghanistan","South Asia",1,0,"Armed Assault","Police",6,3,1,"20744935406"
"8252",201710100001,"Philippines","Southeast Asia",1,0,"Facility/Infrastructure Attack","Utilities",0,0,0,"3.03356E+11"
"3694",201701030048,"Iraq","Middle East & North Africa",0,0,"Unknown","Military",11,11,0,"2.08595E+11"
"9850",201705180020,"Syria","Middle East & North Africa",1,0,"Hostage Taking (Kidnapping)","Terrorists/Non-State Militia",31,5,23,NA
"9663",201702090023,"Sudan","Sub-Saharan Africa",1,0,"Hijacking","Private Citizens & Property",-999,0,-999,"79411016248"
"6154",201705080008,"Libya","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"46627921660"
"1148",201705250020,"Afghanistan","South Asia",0,0,"Unknown","Military",0,0,1,"20744935406"
"8141",201708040013,"Philippines","Southeast Asia",1,0,"Armed Assault","Military",0,0,2,"3.03356E+11"
"6250",201703070045,"Macedonia","Eastern Europe",1,0,"Facility/Infrastructure Attack","Business",0,0,0,"10944451376"
"917",201703210012,"Afghanistan","South Asia",1,1,"Bombing/Explosion","Government (General)",7,1,7,"20744935406"
"10684",201707110025,"Yemen","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,0,"19564086828"
"3448",201705220058,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Military",0,0,1,"2.08595E+11"
"8672",201712130012,"Philippines","Southeast Asia",1,0,"Armed Assault","Military",1,0,3,"3.03356E+11"
"2572",201701260039,"India","South Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.63095E+12"
"3774",201710300019,"Iraq","Middle East & North Africa",1,0,"Facility/Infrastructure Attack","Private Citizens & Property",0,0,0,"2.08595E+11"
"9596",201704090030,"Sudan","Sub-Saharan Africa",1,0,"Armed Assault","Telecommunication",1,0,1,"79411016248"
"5842",201712290025,"Iraq","Middle East & North Africa",0,0,"Armed Assault","Military",-999,-999,0,"2.08595E+11"
"8372",201710090041,"Philippines","Southeast Asia",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",1,0,0,"3.03356E+11"
"404",201704080012,"Afghanistan","South Asia",1,0,"Hostage Taking (Kidnapping)","Police",1,1,-999,"20744935406"
"414",201701290003,"Afghanistan","South Asia",1,0,"Bombing/Explosion","Private Citizens & Property",2,0,0,"20744935406"
"6561",201712030018,"Nepal","South Asia",1,0,"Bombing/Explosion","Government (General)",0,0,0,"21463958187"
"2480",201705290036,"India","South Asia",1,0,"Facility/Infrastructure Attack","Business",0,0,0,"2.63095E+12"
"2619",201704300028,"India","South Asia",1,0,"Armed Assault","Business",0,0,2,"2.63095E+12"
"6477",201709140028,"Myanmar","Southeast Asia",1,0,"Facility/Infrastructure Attack","Police",0,0,0,"79495831533"
"4207",201704170048,"Iraq","Middle East & North Africa",1,0,"Armed Assault","Military",0,0,0,"2.08595E+11"
"8278",201709270013,"Philippines","Southeast Asia",1,0,"Hostage Taking (Kidnapping)","Government (General)",0,0,0,"3.03356E+11"
"1218",201706300007,"Afghanistan","South Asia",1,0,"Unknown","Police",11,5,12,"20744935406"
"10308",201704050048,"Uganda","Sub-Saharan Africa",0,0,"Assassination","Government (General)",1,1,0,"28578668646"
"6736",201705170024,"Nepal","South Asia",0,0,"Bombing/Explosion","Unknown",0,0,0,"21463958187"
"6795",201712070018,"Netherlands","Western Europe",1,0,"Facility/Infrastructure Attack","Business",0,0,0,"9.18284E+11"
"7746",201711120014,"Pakistan","South Asia",1,0,"Bombing/Explosion","Military",0,0,4,"2.40857E+11"
"5329",201708270054,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"3941",201703100047,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Police",0,0,1,"2.08595E+11"
"6333",201707080044,"Mali","Sub-Saharan Africa",1,0,"Bombing/Explosion","Military",0,0,3,"14146600519"
"10006",201704070020,"Thailand","Southeast Asia",1,0,"Bombing/Explosion","Utilities",0,0,0,"4.22941E+11"
"2236",201712030013,"Ethiopia","Sub-Saharan Africa",1,0,"Armed Assault","Tourists",1,0,1,"57710624012"
"7755",201708310020,"Pakistan","South Asia",1,0,"Bombing/Explosion","Telecommunication",0,0,0,"2.40857E+11"
"4478",201708130001,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"8580",201710140023,"Philippines","Southeast Asia",1,0,"Armed Assault","Private Citizens & Property",0,0,3,"3.03356E+11"
"9146",201708010012,"Somalia","Sub-Saharan Africa",1,1,"Bombing/Explosion","Business",11,1,7,NA
"10143",201708100029,"Turkey","Middle East & North Africa",1,0,"Unknown","Military",1,0,0,"1.20604E+12"
"9461",201710010032,"South Africa","Sub-Saharan Africa",1,0,"Assassination","Government (General)",1,0,0,"4.26813E+11"
