"","eventid","country_txt","region_txt","success","suicide","attacktype1_txt","targtype1_txt","nkill","nkillter","nwound","gdp"
"9844",201710060022,"Syria","Middle East & North Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",-999,0,-999,NA
"5036",201709270008,"Iraq","Middle East & North Africa",1,1,"Bombing/Explosion","Military",29,25,9,"2.08595E+11"
"9776",201710050024,"Syria","Middle East & North Africa",1,0,"Bombing/Explosion","Educational Institution",6,0,12,NA
"6434",201708250042,"Myanmar","Southeast Asia",1,0,"Bombing/Explosion","Government (General)",0,0,0,"79495831533"
"6799",201709040019,"Niger","Sub-Saharan Africa",1,0,"Hostage Taking (Kidnapping)","Private Citizens & Property",-999,0,-999,"8504074484"
"9354",201710200022,"Somalia","Sub-Saharan Africa",1,1,"Bombing/Explosion","Private Citizens & Property",2,1,1,NA
"5410",201703260044,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",1,0,5,"2.08595E+11"
"10583",201711090011,"Venezuela","South America",1,0,"Facility/Infrastructure Attack","Utilities",0,0,0,".."
"3490",201704180048,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,0,"2.08595E+11"
"5179",201708270014,"Iraq","Middle East & North Africa",0,0,"Unknown","Military",3,3,0,"2.08595E+11"
"3840",201705290024,"Iraq","Middle East & North Africa",1,0,"Bombing/Explosion","Private Citizens & Property",1,0,2,"2.08595E+11"
"6749",201712010033,"Nepal","South Asia",0,0,"Assassination","Private Citizens & Property",0,0,0,"21463958187"
"7976",201710040049,"Pakistan","South Asia",1,0,"Armed Assault","Government (General)",0,0,0,"2.40857E+11"
"6086",201705290032,"Libya","Middle East & North Africa",1,0,"Unknown","Private Citizens & Property",1,0,4,"46627921660"
"10546",201703030012,"United States","North America",1,0,"Armed Assault","Private Citizens & Property",0,0,1,"1.7305E+13"
"6202",201704190034,"Libya","Middle East & North Africa",1,0,"Bombing/Explosion","Transportation",0,0,0,"46627921660"
"4720",201705250014,"Iraq","Middle East & North Africa",0,0,"Bombing/Explosion","Unknown",0,0,0,"2.08595E+11"
"2458",201704270001,"India","South Asia",1,1,"Armed Assault","Military",5,2,5,"2.63095E+12"
"884",201707190031,"Afghanistan","South Asia",1,0,"Bombing/Explosion","Private Citizens & Property",0,0,1,"20744935406"
"9138",201702080031,"Somalia","Sub-Saharan Africa",1,0,"Bombing/Explosion","Business",0,0,2,NA
"2522",201705210024,"India","South Asia",1,0,"Facility/Infrastructure Attack","Business",0,0,0,"2.63095E+12"
